Net Return,Short Price Window,Long Price Window
-1201.01,0,0
-1201.01,0,2
-1201.01,0,4
-1201.01,0,6
-1201.01,0,8
-1201.01,0,10
-1201.01,0,12
-1201.01,0,14
-1201.01,0,16
-1201.01,0,18
-1201.01,0,20
-1201.01,0,22
-1201.0099999999998,0,24
-1201.01,0,26
-1201.0099999999998,0,28
-1201.0099999999998,0,30
-1201.01,0,32
-1201.01,0,34
-1201.01,0,36
-1201.01,0,38
-1201.01,0,40
-1201.0099999999998,0,42
-1201.01,0,44
-1201.01,0,46
-1201.01,0,48
-1201.01,2,0
-1201.01,2,2
-1552.45,2,4
-1434.8,2,6
-1195.19,2,8
-1013.98,2,10
-930.93,2,12
-1034.3400000000001,2,14
-929.18,2,16
-983.66,2,18
-918.47,2,20
-823.6699999999998,2,22
-667.3299999999999,2,24
-719.85,2,26
-738.93,2,28
-604.8400000000001,2,30
-643.47,2,32
-594.83,2,34
-647.9399999999999,2,36
-638.02,2,38
-555.12,2,40
-555.12,2,42
-702.44,2,44
-686.53,2,46
-678.76,2,48
-1201.01,4,0
168.53999999999996,4,2
-1201.01,4,4
-1396.82,4,6
-1053.68,4,8
-857.54,4,10
-680.0899999999999,4,12
-740.51,4,14
-745.05,4,16
-782.6600000000001,4,18
-1035.17,4,20
-1017.95,4,22
-934.95,4,24
-877.51,4,26
-897.9,4,28
-683.45,4,30
-566.53,4,32
-504.28999999999996,4,34
-589.22,4,36
-522.3699999999999,4,38
-474.35,4,40
-417.82000000000005,4,42
-397.0799999999999,4,44
-502.08000000000004,4,46
-461.63,4,48
-1201.01,6,0
811.73,6,2
5.100000000000136,6,4
-1201.01,6,6
-1220.76,6,8
-860.44,6,10
-978.1899999999997,6,12
-1044.18,6,14
-923.01,6,16
-982.23,6,18
-1081.8,6,20
-983.64,6,22
-984.7,6,24
-798.51,6,26
-694.96,6,28
-684.17,6,30
-552.3,6,32
-594.51,6,34
-511.72,6,36
-426.84000000000003,6,38
-326.57000000000005,6,40
-415.5799999999999,6,42
-388.21000000000004,6,44
-408.09000000000003,6,46
-304.2599999999999,6,48
-1201.01,8,0
-26.930000000000064,8,2
-646.04,8,4
-730.09,8,6
-1201.01,8,8
-779.8,8,10
-1034.27,8,12
-1068.03,8,14
-1038.63,8,16
-1073.72,8,18
-1139.19,8,20
-1022.5899999999999,8,22
-930.8599999999999,8,24
-829.37,8,26
-801.1200000000001,8,28
-647.63,8,30
-602.41,8,32
-421.24,8,34
-445.65999999999997,8,36
-147.9000000000001,8,38
-124.70000000000005,8,40
-133.0200000000002,8,42
-69.01999999999998,8,44
-11.009999999999991,8,46
-80.13000000000011,8,48
-1201.01,10,0
-247.84000000000015,10,2
-762.6600000000001,10,4
-988.9300000000001,10,6
-1109.9,10,8
-1201.01,10,10
-1156.1399999999999,10,12
-1094.16,10,14
-1107.2,10,16
-1137.32,10,18
-1201.93,10,20
-1118.44,10,22
-933.92,10,24
-865.5600000000001,10,26
-738.28,10,28
-629.8,10,30
-551.3199999999999,10,32
-405.0400000000001,10,34
-90.08999999999992,10,36
47.159999999999854,10,38
69.29000000000019,10,40
75.61999999999989,10,42
68.69000000000005,10,44
159.98000000000002,10,46
140.24,10,48
-1201.01,12,0
-233.76999999999998,12,2
-981.6800000000001,12,4
-804.49,12,6
-886.7,12,8
-739.99,12,10
-1201.01,12,12
-1212.73,12,14
-1182.72,12,16
-1087.89,12,18
-1258.4,12,20
-1186.5799999999997,12,22
-1134.02,12,24
-865.79,12,26
-777.52,12,28
-635.86,12,30
-362.81000000000006,12,32
-128.05999999999995,12,34
172.74,12,36
300.8299999999999,12,38
290.7299999999998,12,40
134.47000000000003,12,42
238.64000000000033,12,44
167.94000000000005,12,46
239.84000000000015,12,48
-1201.01,14,0
-174.98000000000002,14,2
-948.68,14,4
-597.57,14,6
-539.62,14,8
-533.93,14,10
-486.19000000000005,14,12
-1201.01,14,14
-1285.32,14,16
-1209.8999999999999,14,18
-1259.58,14,20
-1175.24,14,22
-1040.67,14,24
-995.27,14,26
-718.29,14,28
-515.37,14,30
-260.12,14,32
-59.98000000000002,14,34
56.25000000000023,14,36
556.4100000000001,14,38
309.84000000000015,14,40
414.28999999999996,14,42
256.32000000000016,14,44
252.68000000000006,14,46
252.22000000000003,14,48
-1201.01,16,0
-220.60000000000002,16,2
-878.69,16,4
-639.56,16,6
-606.18,16,8
-466.6299999999999,16,10
-430.3799999999999,16,12
-258.88,16,14
-1201.01,16,16
-1356.08,16,18
-1265.37,16,20
-1255.26,16,22
-1071.58,16,24
-913.02,16,26
-437.03999999999996,16,28
-277.86,16,30
-102.37000000000012,16,32
217.6099999999999,16,34
351.49,16,36
408.6500000000001,16,38
560.4600000000003,16,40
516.03,16,42
444.7199999999998,16,44
298.0200000000002,16,46
380.89999999999986,16,48
-1201.01,18,0
-431.71000000000004,18,2
-816.94,18,4
-478.81999999999994,18,6
-501.21000000000004,18,8
-304.27,18,10
-398.77,18,12
-453.34000000000003,18,14
-227.55000000000018,18,16
-1201.01,18,18
-1190.55,18,20
-1074.0,18,22
-808.7,18,24
-704.27,18,26
-303.1,18,28
-56.929999999999836,18,30
176.68000000000006,18,32
282.8900000000001,18,34
460.29999999999995,18,36
743.0499999999997,18,38
971.7900000000002,18,40
908.74,18,42
487.78,18,44
443.19000000000005,18,46
368.0799999999999,18,48
-1201.01,20,0
-600.26,20,2
-605.54,20,4
-522.25,20,6
-380.09000000000003,20,8
-201.41000000000008,20,10
-193.35000000000014,20,12
-279.30999999999983,20,14
-266.79999999999995,20,16
-670.41,20,18
-1201.01,20,20
-909.27,20,22
-742.0400000000001,20,24
-254.55000000000007,20,26
115.05999999999995,20,28
287.6099999999997,20,30
228.8900000000001,20,32
664.3999999999999,20,34
926.6600000000001,20,36
902.8899999999996,20,38
938.3799999999999,20,40
798.4099999999999,20,42
672.49,20,44
520.25,20,46
196.30000000000018,20,48
-1201.01,22,0
-680.0999999999999,22,2
-531.14,22,4
-593.74,22,6
-551.9699999999999,22,8
-442.22,22,10
-384.32000000000005,22,12
-335.65,22,14
-333.38,22,16
-722.83,22,18
-973.92,22,20
-1201.01,22,22
-754.24,22,24
-182.76999999999998,22,26
73.55000000000018,22,28
-100.28999999999996,22,30
295.76,22,32
554.51,22,34
720.5900000000001,22,36
999.47,22,38
1058.4399999999998,22,40
1105.41,22,42
967.76,22,44
742.95,22,46
631.6599999999999,22,48
-1201.01,24,0
-748.5,24,2
-644.67,24,4
-483.53,24,6
-595.6899999999999,24,8
-663.77,24,10
-415.89,24,12
-655.9,24,14
-695.57,24,16
-952.63,24,18
-990.95,24,20
-1113.02,24,22
-1201.01,24,24
318.5599999999997,24,26
196.82000000000016,24,28
27.939999999999827,24,30
498.7900000000002,24,32
587.6600000000001,24,34
660.3,24,36
912.3399999999999,24,38
1114.1899999999998,24,40
990.3999999999999,24,42
796.2999999999997,24,44
758.05,24,46
922.5899999999999,24,48
-1201.01,26,0
-631.16,26,2
-677.76,26,4
-617.97,26,6
-742.3199999999999,26,8
-620.74,26,10
-727.0,26,12
-712.14,26,14
-844.71,26,16
-977.45,26,18
-1208.93,26,20
-1263.16,26,22
-1412.51,26,24
-1201.01,26,26
-10.460000000000036,26,28
197.3800000000001,26,30
261.56999999999994,26,32
682.76,26,34
822.0100000000002,26,36
1035.76,26,38
1030.9199999999998,26,40
903.7100000000003,26,42
793.04,26,44
752.4300000000001,26,46
878.0000000000002,26,48
-1201.01,28,0
-635.26,28,2
-720.8199999999999,28,4
-835.9399999999999,28,6
-785.77,28,8
-790.36,28,10
-896.1,28,12
-991.28,28,14
-1123.1399999999999,28,16
-1161.92,28,18
-1324.22,28,20
-1323.87,28,22
-1345.59,28,24
-1358.92,28,26
-1201.01,28,28
604.0999999999999,28,30
294.95000000000005,28,32
779.01,28,34
696.81,28,36
898.1399999999996,28,38
903.2500000000002,28,40
768.22,28,42
753.8999999999999,28,44
606.8500000000001,28,46
756.6300000000001,28,48
-1201.01,30,0
-747.04,30,2
-868.85,30,4
-865.01,30,6
-911.74,30,8
-899.05,30,10
-979.54,30,12
-1112.38,30,14
-1215.77,30,16
-1276.57,30,18
-1370.13,30,20
-1306.8799999999999,30,22
-1350.12,30,24
-1394.99,30,26
-1488.8600000000001,30,28
-1201.01,30,30
282.1999999999998,30,32
645.1000000000001,30,34
776.5599999999997,30,36
725.9700000000003,30,38
599.02,30,40
702.1800000000001,30,42
600.0899999999999,30,44
640.1899999999998,30,46
623.5900000000004,30,48
-1201.01,32,0
-785.6099999999999,32,2
-951.5,32,4
-987.4200000000001,32,6
-997.5899999999999,32,8
-1036.1,32,10
-1153.07,32,12
-1218.91,32,14
-1287.28,32,16
-1362.78,32,18
-1357.46,32,20
-1376.18,32,22
-1423.9900000000002,32,24
-1410.8,32,26
-1416.29,32,28
-1431.52,32,30
-1201.01,32,32
607.2299999999998,32,34
817.8399999999999,32,36
705.6899999999998,32,38
436.70000000000005,32,40
364.5500000000004,32,42
423.3699999999999,32,44
361.4200000000001,32,46
493.03,32,48
-1201.01,34,0
-962.98,34,2
-1073.57,34,4
-1053.38,34,6
-1125.76,34,8
-1115.7899999999997,34,10
-1220.58,34,12
-1283.7,34,14
-1355.74,34,16
-1376.46,34,18
-1423.18,34,20
-1437.57,34,22
-1445.34,34,24
-1471.61,34,26
-1485.7,34,28
-1484.8600000000001,34,30
-1494.06,34,32
-1201.01,34,34
705.79,34,36
1047.3100000000002,34,38
803.2699999999998,34,40
521.8799999999999,34,42
403.1199999999999,34,44
467.03999999999996,34,46
519.28,34,48
-1201.01,36,0
-953.74,36,2
-1048.23,36,4
-1096.81,36,6
-1139.8,36,8
-1240.77,36,10
-1322.75,36,12
-1325.93,36,14
-1386.34,36,16
-1398.7,36,18
-1466.6100000000001,36,20
-1442.42,36,22
-1457.84,36,24
-1482.01,36,26
-1469.88,36,28
-1480.22,36,30
-1477.73,36,32
-1508.42,36,34
-1201.01,36,36
1010.47,36,38
707.4800000000002,36,40
654.98,36,42
557.49,36,44
220.63999999999987,36,46
254.87999999999988,36,48
-1201.01,38,0
-940.45,38,2
-1054.03,38,4
-1121.36,38,6
-1229.02,38,8
-1286.07,38,10
-1362.0,38,12
-1430.19,38,14
-1403.53,38,16
-1418.14,38,18
-1446.37,38,20
-1479.5900000000001,38,22
-1469.67,38,24
-1513.58,38,26
-1488.94,38,28
-1471.6500000000003,38,30
-1482.63,38,32
-1536.7899999999997,38,34
-1540.69,38,36
-1201.01,38,38
929.2699999999998,38,40
413.43000000000006,38,42
185.99,38,44
72.99999999999977,38,46
-46.649999999999864,38,48
-1201.01,40,0
-1036.87,40,2
-1099.69,40,4
-1183.05,40,6
-1229.21,40,8
-1299.05,40,10
-1375.04,40,12
-1375.84,40,14
-1419.9299999999998,40,16
-1454.53,40,18
-1482.33,40,20
-1467.1599999999999,40,22
-1496.4299999999998,40,24
-1478.56,40,26
-1457.1,40,28
-1435.97,40,30
-1417.93,40,32
-1489.15,40,34
-1463.75,40,36
-1503.2,40,38
-1201.01,40,40
-305.8599999999999,40,42
-94.57999999999993,40,44
-30.940000000000055,40,46
-27.87000000000012,40,48
-1201.01,42,0
-1070.77,42,2
-1150.8899999999999,42,4
-1119.94,42,6
-1232.59,42,8
-1300.32,42,10
-1329.65,42,12
-1377.96,42,14
-1391.55,42,16
-1453.5,42,18
-1432.77,42,20
-1444.85,42,22
-1459.21,42,24
-1429.79,42,26
-1424.31,42,28
-1396.37,42,30
-1357.71,42,32
-1406.05,42,34
-1419.21,42,36
-1366.81,42,38
-1144.22,42,40
-1201.01,42,42
-17.289999999999964,42,44
-82.08000000000015,42,46
-180.26,42,48
-1201.0099999999998,44,0
-994.19,44,2
-1119.77,44,4
-1112.91,44,6
-1244.17,44,8
-1280.39,44,10
-1333.53,44,12
-1345.97,44,14
-1381.61,44,16
-1390.3899999999999,44,18
-1425.52,44,20
-1445.36,44,22
-1422.72,44,24
-1397.98,44,26
-1401.77,44,28
-1369.93,44,30
-1359.06,44,32
-1348.8,44,34
-1352.57,44,36
-1251.34,44,38
-1054.65,44,40
-1116.57,44,42
-1201.01,44,44
-328.36,44,46
-267.27,44,48
-1201.01,46,0
-958.5699999999999,46,2
-1079.27,46,4
-1105.44,46,6
-1241.28,46,8
-1288.61,46,10
-1298.84,46,12
-1347.7199999999998,46,14
-1355.79,46,16
-1371.3899999999999,46,18
-1393.47,46,20
-1418.01,46,22
-1398.19,46,24
-1398.4,46,26
-1360.23,46,28
-1385.64,46,30
-1330.23,46,32
-1347.55,46,34
-1239.26,46,36
-1196.46,46,38
-1052.04,46,40
-1021.9300000000001,46,42
-1034.97,46,44
-1201.01,46,46
-90.83000000000015,46,48
-1201.01,48,0
-972.23,48,2
-1065.88,48,4
-1126.28,48,6
-1230.43,48,8
-1298.05,48,10
-1324.66,48,12
-1344.2599999999998,48,14
-1351.55,48,16
-1373.68,48,18
-1345.74,48,20
-1401.94,48,22
-1429.92,48,24
-1412.0599999999997,48,26
-1401.42,48,28
-1396.47,48,30
-1369.83,48,32
-1332.1,48,34
-1274.33,48,36
-1172.03,48,38
-1023.4699999999999,48,40
-1038.03,48,42
-1028.54,48,44
-1095.69,48,46
-702.52,48,48
